         3881116 function calls (3838170 primitive calls) in 165.909 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      109    0.016    0.000    0.255    0.002 _distn_infrastructure.py:626(_construct_argparser)
       40    0.016    0.000    0.340    0.008 cc.py:639(code_gen)
     6413    0.016    0.000    0.024    0.000 frozendict.py:39(__hash__)
     2723    0.016    0.000    0.026    0.000 _collections_abc.py:677(__iter__)
      171    0.016    0.000    0.393    0.002 cc.py:583(fetch_variables)
     2361    0.016    0.000    0.016    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
     6065    0.016    0.000    0.025    0.000 copyreg.py:87(__newobj__)
     3660    0.016    0.000    0.088    0.000 utils.py:217(__ne__)
     1029    0.016    0.000    0.085    0.000 <frozen importlib._bootstrap_external>:350(_get_cached)
     1850    0.016    0.000    0.555    0.000 type.py:409(__call__)
     1540    0.015    0.000    0.017    0.000 {built-in method builtins.sorted}
       10    0.015    0.002    2.055    0.205 opt.py:175(apply)
      442    0.015    0.000    0.015    0.000 {method 'close' of '_io.TextIOWrapper' objects}
      757    0.015    0.000    0.213    0.000 opt.py:4823(simplify)
      136    0.015    0.000    0.029    0.000 traceback.py:381(format)
      211    0.015    0.000    0.252    0.001 cmodule.py:1009(_get_from_key)
      166    0.015    0.000    0.114    0.001 opt.py:514(on_attach)
     3268    0.015    0.000    0.097    0.000 {method 'all' of 'numpy.ndarray' objects}
  327/126    0.015    0.000    0.140    0.001 blas.py:1186(_gemm_canonicalize)
     2832    0.015    0.000    4.606    0.002 opt.py:6487(constant_folding)
       86    0.015    0.000    0.268    0.003 __init__.py:359(namedtuple)
       40    0.015    0.000    0.059    0.001 cmodule.py:1056(_update_mappings)
      171    0.015    0.000   29.432    0.172 op.py:826(make_c_thunk)
      527    0.015    0.000    0.180    0.000 opt.py:1686(transform)
      759    0.015    0.000    0.041    0.000 cc.py:1030(c_compiler)
      136    0.015    0.000    0.031    0.000 traceback.py:361(from_list)
     3357    0.015    0.000    0.061    0.000 re.py:160(match)
      932    0.015    0.000    0.260    0.000 opt.py:6384(attempt_distribution)
     1028    0.014    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:1218(_get_spec)
     4777    0.014    0.000    0.019    0.000 <frozen importlib._bootstrap>:856(__exit__)
     4455    0.014    0.000    0.061    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
   686/31    0.014    0.000   13.457    0.434 opt.py:76(optimize)
     3662    0.014    0.000    0.018    0.000 {built-in method builtins.setattr}
      215    0.014    0.000    0.020    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      417    0.014    0.000    0.873    0.002 fg.py:455(replace)
      604    0.014    0.000    0.021    0.000 cmodule.py:435(get_safe_part)
     2588    0.014    0.000    0.036    0.000 fg.py:189(__setup_r__)
     2220    0.014    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:1072(_path_importer_cache)
     4777    0.014    0.000    0.019    0.000 <frozen importlib._bootstrap>:852(__enter__)
     1876    0.014    0.000    0.099    0.000 <frozen importlib._bootstrap>:406(cached)
      120    0.014    0.000    0.034    0.000 mmalobj.py:1144(send_buffer)
       37    0.014    0.000    0.023    0.001 group.py:158(__getitem__)
     1245    0.014    0.000    0.159    0.000 opt.py:564(on_import)
     1048    0.014    0.000    0.016    0.000 inspect.py:2400(__init__)
      565    0.014    0.000    0.052    0.000 fg.py:643(orderings)
      322    0.014    0.000    0.425    0.001 opt.py:6417(local_greedy_distributor)
10343/10305    0.013    0.000    0.123    0.000 {built-in method builtins.next}
      972    0.013    0.000    0.335    0.000 fg.py:615(toposort)
     2278    0.013    0.000    0.165    0.000 posixpath.py:356(abspath)
      171    0.013    0.000   28.731    0.168 cc.py:1590(cthunk_factory)
       88    0.013    0.000   25.344    0.288 __init__.py:1(<module>)
1447/1069    0.013    0.000    0.284    0.000 opt.py:4730(<listcomp>)
      391    0.013    0.000    0.017    0.000 elemwise.py:827(infer_shape)
     1608    0.013    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      137    0.013    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1186(__init__)
      189    0.013    0.000    0.089    0.000 opt.py:6090(local_add_specialize)
       70    0.013    0.000    0.029    0.000 optdb.py:284(<listcomp>)
      198    0.013    0.000    0.090    0.000 opt.py:6351(distribute_greedy)
      194    0.013    0.000    0.013    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
     1709    0.012    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      195    0.012    0.000    0.020    0.000 destroyhandler.py:502(on_import)
        4    0.012    0.003    0.012    0.003 mmalobj.py:2216(disable)
     1474    0.012    0.000    0.012    0.000 <frozen importlib._bootstrap>:372(__init__)
       60    0.012    0.000    0.015    0.000 mmalobj.py:1902(__init__)
        1    0.012    0.012    0.021    0.021 mimetypes.py:205(readfp)
      898    0.012    0.000    0.122    0.000 var.py:901(__hash__)
      611    0.012    0.000    0.012    0.000 {method 'replace' of 'str' objects}
     1053    0.012    0.000    0.333    0.000 fg.py:529(attach_feature)
       56    0.012    0.000    0.017    0.000 opt.py:279(<listcomp>)
   640/72    0.012    0.000    9.037    0.126 {built-in method builtins.__import__}
      589    0.012    0.000    0.026    0.000 nnet.py:888(softmax_simplifier)
     1092    0.012    0.000    0.012    0.000 {built-in method posix.readlink}
      991    0.012    0.000    0.824    0.001 fg.py:334(__import_r__)
      168    0.012    0.000    0.034    0.000 opt.py:6320(add_calculate)
      135    0.012    0.000    0.901    0.007 basic.py:3928(__init__)
      213    0.012    0.000    0.509    0.002 elemwise.py:156(__init__)
     2019    0.011    0.000    0.012    0.000 graph.py:1038(<listcomp>)
      315    0.011    0.000    0.091    0.000 opt.py:796(apply)
     2765    0.011    0.000    0.022    0.000 opt.py:4798(get_constant)
     6184    0.011    0.000    0.013    0.000 {method 'pop' of 'dict' objects}
     1481    0.011    0.000    0.111    0.000 linecache.py:82(updatecache)
      992    0.011    0.000    0.017    0.000 elemwise.py:209(__setstate__)
  391/157    0.011    0.000    0.232    0.001 sre_parse.py:429(_parse_sub)
       17    0.011    0.001    0.427    0.025 subprocess.py:1159(_execute_child)
    40/10    0.011    0.000   13.448    1.345 opt.py:214(apply)
     1125    0.011    0.000    0.037    0.000 {method 'any' of 'numpy.generic' objects}
     1699    0.011    0.000    0.080    0.000 destroyhandler.py:389(get_destroyers_of)
     1449    0.011    0.000    0.819    0.001 <frozen importlib._bootstrap_external>:1141(find_spec)
      528    0.011    0.000    0.020    0.000 functools.py:43(update_wrapper)
       31    0.011    0.000    0.166    0.005 cmodule.py:1202(check_key)
      840    0.011    0.000    0.011    0.000 {built-in method _imp._fix_co_filename}
     1591    0.011    0.000    0.016    0.000 opt.py:3948(local_expm1)
      440    0.011    0.000    0.012    0.000 function_base.py:2679(__init__)
      341    0.011    0.000    0.034    0.000 inspect.py:1751(_signature_bound_method)
     5727    0.011    0.000    0.011    0.000 type.py:50(<genexpr>)
      109    0.011    0.000    0.614    0.006 _distn_infrastructure.py:706(_construct_doc)
     2193    0.011    0.000    0.015    0.000 _collections_abc.py:613(items)
    18451    0.011    0.000    0.011    0.000 {built-in method builtins.id}
      340    0.011    0.000    0.021    0.000 basic.py:322(filter)
      318    0.010    0.000    0.709    0.002 toolbox.py:508(replace_all_validate)
     1789    0.010    0.000    0.014    0.000 __init__.py:84(__getitem__)
      255    0.010    0.000    0.037    0.000 opt.py:6011(local_mul_specialize)
      404    0.010    0.000    0.010    0.000 {method 'randint' of 'mtrand.RandomState' objects}
      185    0.010    0.000    0.015    0.000 type.py:405(c_extract)
      673    0.010    0.000    0.011    0.000 graph.py:744(expand)
      136    0.010    0.000    0.010    0.000 {method 'issuperset' of 'frozenset' objects}
    15478    0.010    0.000    0.010    0.000 graph.py:624(<lambda>)
     1244    0.010    0.000    0.972    0.001 posixpath.py:370(realpath)
      324    0.010    0.000    0.016    0.000 mmalobj.py:821(name)
     1018    0.010    0.000    0.172    0.000 inspect.py:677(getabsfile)
      998    0.010    0.000    0.022    0.000 opt.py:1554(<listcomp>)
      558    0.010    0.000    0.098    0.000 basic.py:1050(output_types)
      178    0.010    0.000    0.038    0.000 cc.py:1073(libraries)
      455    0.010    0.000    0.041    0.000 opt.py:4065(local_mul_switch_sink)
     1038    0.010    0.000    0.061    0.000 type.py:341(make_variable)
      481    0.010    0.000    0.062    0.000 elemwise.py:423(<listcomp>)
     3356    0.010    0.000    0.012    0.000 ordered_set.py:10(check_deterministic)
       25    0.010    0.000    0.011    0.000 link.py:461(__set__)
